Parameter Name,Parameter Usage,Parameter CAS Number,Parameter UOM Type,Parameter Synonym,Parameter Synonym Type
"1,2,3,4,6,7,8-HpCDD",Lab,35822-46-9     ,SUBST,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",Synonym
"1,2,3,4,6,7,8-HpCDD",Lab,35822-46-9     ,SUBST,"Dibenzo[b,e][1,4]dioxin, 1,2,3,4,6,7,8-heptachloro-",Synonym
"1,2,3,4,6,7,8-HpCDF",Lab,67562-39-4     ,SUBST,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",Synonym
"1,2,3,4,7,8,9-HpCDF",Lab,55673-89-7     ,SUBST,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",Synonym
"1,2,3,4,7,8-HxCDD",Lab,39227-28-6     ,SUBST,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",Synonym
"1,2,3,4,7,8-HxCDF",Lab,70648-26-9     ,SUBST,"1,2,3,4,7,8-Hexachlorodibenzofuran",Synonym
"1,2,3,4-Tetrachlorobenzene",Lab,634-66-2       ,SUBST,,
"1,2,3,5-Tetrachlorobenzene",Lab,634-90-2       ,SUBST,,
"1,2,3,6,7,8-HxCDD",Lab,57653-85-7     ,SUBST,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",Synonym
"1,2,3,6,7,8-HxCDF",Lab,57117-44-9     ,SUBST,"1,2,3,6,7,8-Hexachlorodibenzofuran",Synonym
"1,2,3,7,8,9-HxCDD",Lab,19408-74-3     ,SUBST,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",Synonym
"1,2,3,7,8,9-HxCDF",Lab,72918-21-9     ,SUBST,"1,2,3,7,8,9-Hexachlorodibenzofuran",Synonym
"1,2,3,7,8-PeCDD",Lab,40321-76-4     ,SUBST,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",Synonym
"1,2,3,7,8-PeCDF",Lab,57117-41-6     ,SUBST,"1,2,3,7,8-Pentachlorodibenzofuran",Synonym
"1,2,3-Trichlorobenzene",Lab,87-61-6        ,SUBST,,
"1,2,3-Trichloropropane",Lab,96-18-4        ,SUBST,,
"1,2,4,5-Tetrachlorobenzene",Lab,95-94-3        ,SUBST,,
"1,2,4-Trichlorobenzene",Lab,120-82-1       ,SUBST,"Benzene, 1,2,4-trichloro-",Synonym
"1,2,4-Trimethylbenzene",Lab,95-63-6        ,SUBST,,
"1,2,4-Trithiolane",Lab,289-16-7       ,SUBST,,
"1,2-acenaphthylenedione",Lab,82-86-0        ,SUBST,acenapthenequinone,Synonym
"1,2-Benzenedicarboxaldehyde",Lab,643-79-8       ,SUBST,,
"1,2-Benzenedicarboxylic acid, 4-methyl-",Lab,4316-23-8      ,SUBST,,
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",Lab,84-69-5        ,SUBST,Diisobutyl phthalate,Synonym
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",Lab,84-69-5        ,SUBST,"Phthalic acid, diisobutyl ester",Synonym
"1,2-Benzenedicarboxylic acid, diisooctyl ester",Lab,27554-26-3     ,SUBST,,
"1,2-Benzenedicarboxylic acid, dipentyl ester",Lab,131-18-0       ,SUBST,Dipentyl phthalate,Synonym
"1,2-Benzenedicarboxylic acid, dipentyl ester",Lab,131-18-0       ,SUBST,Amyl phthalate,Synonym
"1,2-Benzenedicarboxylic acid, dipropyl e",Lab,131-16-8       ,SUBST,"Phthalic acid, dipropyl ester",Synonym
"1,2-Benzenedicarboxylic acid, dipropyl e",Lab,131-16-8       ,SUBST,Dipropyl phthalate,Synonym
"1,2-Benzenedicarboxylic acid, mono(2-ethylhexyl) ester",Lab,4376-20-9      ,SUBST,,
"1,2-Benzenedicarboxylic acid, monomethyl ester",Lab,4376-18-5      ,SUBST,,
"1,2-Benzenediol",Lab,120-80-9       ,SUBST,,
"1,2-Benzenediol, 3,5-dichloro-",Lab,13673-92-2     ,SUBST,"3,5-Dichlorocatechol",Synonym
"1,2-bis(2,3,4,5,6-pentabromophenyl)ethane",Lab,84852-53-9     ,SUBST,"Benzene, 1,1'-(1,2-ethanediyl)bis[2,3,4,5,6-pentabromo-",Synonym
"1,2-Dibromo-3-Chloropropane",Lab,96-12-8        ,SUBST,DBCP,Synonym
"1,2-Dibromo-3-Chloropropane",Lab,96-12-8        ,SUBST,"Propane, 1,2-dibromo-3-chloro-",Synonym
"1,2-Dichlorobenzene",Lab,95-50-1        ,SUBST,o-Dichlorobenzene,Synonym
"1,2-Dichlorobenzene-D4",Lab,2199-69-1      ,SUBST,,
"1,2-Dichloroethane",Lab,107-06-2       ,SUBST,"Ethane, 1,2-dichloro-",Synonym
"1,2-Dichloroethane",Lab,107-06-2       ,SUBST,Dichloroethane,Synonym
"1,2-Dichloroethane",Lab,107-06-2       ,SUBST,"1,2-DCA",Synonym
"1,2-Dichloroethane",Lab,107-06-2       ,SUBST,EDC,Synonym
"1,2-Dichloroethane-D4",Lab,17060-07-0     ,SUBST,"1,2-DCA-D4",Synonym
"1,2-Dichloroethane-D4",Lab,17060-07-0     ,SUBST,Dichloroethane-D4,Synonym
"1,2-Dichloroethene",Lab,540-59-0       ,SUBST,"1,2-Dichloroethylene, (mixed isomers)",Synonym
"1,2-Dichloroethene",Lab,540-59-0       ,SUBST,"1,2-Dichloroethene, cis-, trans-",Synonym
"1,2-Dichloroethene",Lab,540-59-0       ,SUBST,"1,2-Dichloroethylene",Synonym
"1,2-Dichloropropane",Lab,78-87-5        ,SUBST,,
"1,2-Dichloropropene",Lab,563-54-2       ,SUBST,"1-Propene, 1,2-dichloro-",Synonym
"1,2-Dichloropropene",Lab,563-54-2       ,SUBST,Propylene dichloride,Synonym
"1,2-Diphenylhydrazine",Lab,122-66-7       ,SUBST,,
"1,2-Phenylenediamine",Lab,95-54-5        ,SUBST,"1,2-Benzenediamine",Synonym
"1,2-Phenylenediamine",Lab,95-54-5        ,SUBST,o-Phenylenediamine,Synonym
"1,2-Propanediol dinitrate",Lab,6423-43-4      ,SUBST,,
"1,3,5,7-Cyclooctatetraene",Lab,629-20-9       ,SUBST,,
"1,3,5-Cycloheptatriene",Lab,544-25-2       ,SUBST,,
"1,3,5-Triazine-2,4-diamine, 6-chloro-N-ethyl-",Lab,1007-28-9      ,SUBST,,
"1,3,5-Trichlorobenzene",Lab,108-70-3       ,SUBST,,
"1,3,5-Trimethylbenzene",Lab,108-67-8       ,SUBST,,
"1,3-Butadiene",Lab,106-99-0       ,SUBST,,
"1,3-Butadiene, 1,1,3,4-Tetrachloro-",Lab,42769-38-0     ,SUBST,,
"1,3-Butadiene, Pentachloro",Lab,55880-77-8     ,SUBST,,
"1,3-Butadiene, tetrachloro-",Lab,58334-79-5     ,SUBST,Tetrachlorobutadiene,Synonym
"1,3-Butanediol",Lab,107-88-0       ,SUBST,,
"1,3-Cyclohexanedione, 2,2,5,5-tetramethyl-",Lab,702-50-1       ,SUBST,,
"1,3-DIAZABICYCLO[3.1.0]HEXANE",Lab,17038-28-7     ,SUBST,,
"1,3-Dichlorobenzene",Lab,541-73-1       ,SUBST,m-Dichlorobenzene,Synonym
"1,3-Dichloropropane",Lab,142-28-9       ,SUBST,,
"1,3-Dichloropropene",Lab,542-75-6       ,SUBST,"1-Propene, 1,3-dichloro-",Synonym
"1,3-Dimethyl-2-nitrobenzene",Lab,81-20-9        ,SUBST,,
"1,3-Dinitrobenzene",Lab,99-65-0        ,SUBST,m-Dinitrobenzene,Synonym
"1,3-Dioxolane-2-methanol, 2",Lab,53951-43-2     ,SUBST,,
"1,3-Pentadiene, 3-methyl-, (E)-",Lab,2787-43-1      ,SUBST,,
"1,3-Phenylenediamine",Lab,108-45-2       ,SUBST,,
"1,4,-Pentanediamine",,591-77-5       ,SUBST,,
"1,4,8-Dodecatriene, (E,E,E)-",Lab,24252-85-5     ,SUBST,,
"1,4-anthraquinone",Lab,635-12-1       ,SUBST,,
"1,4-Benzenediamine",Lab,106-50-3       ,SUBST,p-Phenylenediamine,Synonym
"1,4-Benzenediol, 2-methoxy",Lab,824-46-4       ,SUBST,,
"1,4-Cyclooctadiene, (Z,Z)-",Lab,16327-22-3     ,SUBST,,
"1,4-Dichloro-2-butene",Lab,764-41-0       ,SUBST,,
"1,4-Dichlorobenzene",Lab,106-46-7       ,SUBST,p-Dichlorobenzene,Synonym
"1,4-Dichlorobenzene-d4",Lab,3855-82-1      ,SUBST,,
"1,4-Difluorobenzene",Lab,540-36-3       ,SUBST,,
"1,4-Ethenoanthracene, 1,4-dihydro-",Lab,27765-96-4     ,SUBST,,
"1,4-Naphthalenedione, 5,8-dihydroxy-",Lab,475-38-7       ,SUBST,,
"1,4-Phenanthrenedione",Lab,569-15-3       ,SUBST,"Phenanthrene-1,4-dione",Synonym
"1,5-Heptadiene, 2-methyl-, (Z)-",Lab,41044-64-8     ,SUBST,,
"1,5-Hexadiene",Lab,592-42-7       ,SUBST,,
"1,6-Dinitropyrene",Lab,42397-64-8     ,SUBST,,
"1,8-Dinitropyrene",Lab,42397-65-9     ,SUBST,,
"1,8-Nonadiene, 2,8-dimethyl-",Lab,20054-25-5     ,SUBST,,
"1,8-Nonanediol, 8-methyl",Lab,54725-73-4     ,SUBST,,
1-(O-Chlorophenyl)Thiourea,Lab,5344-82-1      ,SUBST,,
"1-Butanamine, N,N-dimethyl-",Lab,927-62-8       ,SUBST,,
1-Butanol,Lab,71-36-3,SUBST,n-Butyl alcohol,Synonym
1-Butanol,Lab,71-36-3,SUBST,n-Butanol,Synonym
"1-Butanol, 2,2-dimethyl-",Lab,1185-33-7      ,SUBST,,
"1-Butanol, 2,3-dimethyl-",Lab,19550-30-2     ,SUBST,,
"1-Butanol, 2-ethyl-",Lab,97-95-0        ,SUBST,,
"1-Butene, 2-methyl-",Lab,563-46-2       ,SUBST,,
"1-Butene, 3,3-dimethyl-",Lab,558-37-2       ,SUBST,,
1-Chlorobutane,Lab,109-69-3       ,SUBST,,
1-Chlorohexane,Lab,544-10-5       ,SUBST,"Hexane, 1-chloro-",Synonym
1-Docosanethiol,Lab,7773-83-3      ,SUBST,,
1-Docosanol,Lab,661-19-8       ,SUBST,,
"1-Docosanol, acetate",Lab,822-26-4       ,SUBST,,
1-Docosene,Lab,1599-67-3      ,SUBST,,
1-Eicosanol,Lab,629-96-9       ,SUBST,,
1-Ethoxy-2-propanol,Lab,1569-02-4      ,SUBST,,
1-Heneicosyl formate,Lab,77899-03-7     ,SUBST,,
1-Hentetracontanol,Lab,40710-42-7     ,SUBST,,
1-Heptacosanol,Lab,2004-39-9      ,SUBST,,
1-Heptadecene,Lab,6765-39-5      ,SUBST,,
1-Hexacosene,Lab,18835-33-1     ,SUBST,,
1-Hexadecanol,Lab,36653-82-4     ,SUBST,,
"1-Hexadecanol, 2-methyl",Lab,2490-48-4      ,SUBST,,
1-Hexadecene (8ci9ci),Lab,629-73-2       ,SUBST,,
"1-Hexane, 4-Methyl-",Lab,3769-23-1      ,SUBST,,
1-Hexanol,,111-27-3       ,SUBST,,
"1-Hexanol, 2-Ethyl-",Lab,104-76-7       ,SUBST,,
1-Hexene,Lab,592-41-6       ,SUBST,,
1-Methylnaphthalene,Lab,90-12-0        ,SUBST,"Naphthalene, 1-methyl-",Synonym
1-Methylnaphthalene-D10,Lab,38072-94-5     ,SUBST,,
1-Methylphenanthrene,Lab,832-69-9       ,SUBST,,
1-Methylpyrene,Lab,2381-21-7      ,SUBST,"Pyrene, 1-methyl-",Synonym
"1-Naphthalenepropanol, .Alpha.-Ethenyldecahydro-.Alpha...(R*",Lab,1438-62-6      ,SUBST,,
"1-Naphthalenol, 2-methyl-",Lab,7469-77-4      ,SUBST,,
"1-Naphthalenol, 4-methyl-",Lab,10240-08-1     ,SUBST,,
1-Naphthol,Lab,90-15-3        ,SUBST,,
1-Naphthylamine,Lab,134-32-7       ,SUBST,1-Naphthalenamine,Synonym
1-Nitropyrene,Lab,5522-43-0      ,SUBST,"Pyrene, 1-nitro-",Synonym
1-Nonadecanol,Lab,1454-84-8      ,SUBST,,
1-Nonadecene,,18435-45-5     ,SUBST,,
"1-Nonene, 2,4,6-trimethyl-",,55771-40-9     ,SUBST,,
1-Octadecene,Lab,112-88-9       ,SUBST,,
"1-Octanol, 2-butyl",Lab,2/8/3913,SUBST,,
1-Pentadecanol,Lab,629-76-5       ,SUBST,,
"1-Pentanol, 2,3-dimethyl-",,10143-23-4     ,SUBST,,
"1-Pentanol, 3-methyl-",Lab,589-35-5       ,SUBST,,
"1-Pentanol, 4-methyl-",Lab,626-89-1       ,SUBST,,
1-Pentene,Lab,109-67-1       ,SUBST,,
"1-Pentene, 2-Methyl-",Lab,763-29-1       ,SUBST,,
"1-Phenanthrenecarboxaldehyde, 1,2,3,4,4a,9,10,10a-Octa...[1R",Lab,13601-88-2     ,SUBST,,
"1-Phenanthrenecarboxylic acid, 1,2,3,4,4a,9,10,10a-",Lab,1740-19-8      ,SUBST,,
1-Propene,Lab,115-07-1       ,SUBST,Propylene,Synonym
1-Propene,Lab,115-07-1       ,SUBST,Propene,Synonym
1-Propene,Lab,115-07-1       ,SUBST,Methylethylene,Synonym
"1-Propene, 2-Methyl-",Lab,115-11-7       ,SUBST,,
"1-Propene, Pentachloro-",Lab,69102-77-8     ,SUBST,,
"1-Tetradecanamine, N,N-dimethyl-",Lab,112-75-4       ,SUBST,"N,N-Dimethyl-1-tetradecanamine",Synonym
"1-Tetradecanamine, N,N-dimethyl-",Lab,112-75-4       ,SUBST,Tetradecyldimethylamine,Synonym
1-Tetradecanol,Lab,112-72-1       ,SUBST,,
1-Tetradecene,Lab,1120-36-1      ,SUBST,,
"1-Undecanol, 2-methyl-",Lab,10522-26-6     ,SUBST,2-Methyl-1-undecanol,Synonym
10-hydroxy-amitriptyline,Lab,1159-82-6      ,SUBST,,
10-Methylnonadecane,Lab,56862-62-5     ,SUBST,,
"11-Hexadecenoic Acid, Methyl Ester",Lab,55000-42-5     ,SUBST,,
11H-Benzo[a]Fluorene,Lab,238-84-6       ,SUBST,,
11H-Benzo[b]Fluorene,Lab,243-17-4       ,SUBST,,
12-Chlorodehydroabietic Acid,Lab,65310-45-4     ,SUBST,,
13-Octadecenal,Lab,56554-90-6     ,SUBST,,
13c6-Pentachlorophenol(Ac),Lab,85380-74-1     ,SUBST,,
14-Chlorodehydroabietic Acid,Lab,65281-76-7     ,SUBST,,
"14-Octadecenal, (E)-",Lab,56554-89-3     ,SUBST,14-Octadecenal (9ci),Synonym
16-Octadecenal,Lab,56554-87-1     ,SUBST,,
"16-Octadecenoic acid, methyl ester",Lab,56554-49-5     ,SUBST,,
17-Octadecenal,Lab,56554-86-0     ,SUBST,,
17-Pentatriacontene,Lab,6971-40-0      ,SUBST,,
17a-Dihydroequilin,Lab,651-55-8       ,SUBST,,
17a-Estradiol,Lab,57-91-0        ,SUBST,17-alpha-estradiol,Synonym
18a-Oleanane,Lab,30759-92-3     ,SUBST,,
"1h-Imidazole, 1-Methyl-",Lab,616-47-7       ,SUBST,,
"1H-Inden-1-One, 2,3-Dihydro-",Lab,83-33-0        ,SUBST,,
1h-Indene,Lab,95-13-6        ,SUBST,,
"1h-Indene, 1-(Phenylmethylene)-",Lab,5394-86-5      ,SUBST,,
"1h-Indene, 1-Ethylidene-",Lab,2471-83-2      ,SUBST,,
"1H-Indene, 1-methyl-",Lab,767-59-9       ,SUBST,,
"1h-Indene, 1-Phenyl-",Lab,1961-96-2      ,SUBST,,
"1h-Indene, 2,3-Dihydro-1,3-Dimethyl-",Lab,4175-53-5      ,SUBST,,
"1H-Indene, 2,3-dihydro-1-me",Lab,767-58-8       ,SUBST,,
"1H-Indene, 2,3-dihydro-1-methyl-3-phenyl-",Lab,6416-39-3      ,SUBST,,
"1h-Indene, 2,3-Dihydro-2-Methyl-",Lab,824-63-5       ,SUBST,,
"1h-Indene, 2,3-Dihydro-4-Methyl-",Lab,824-22-6       ,SUBST,,
"1h-Indene, 2,3-Dihydro-5-Methyl-",Lab,874-35-1       ,SUBST,,
"1H-Indene, 2-phenyl-",Lab,4505-48-0      ,SUBST,,
"1H-Indole, 2,3-dihydro-4-methyl-",Lab,62108-16-1     ,SUBST,,
"1H-Indole, 3-methyl-",Lab,83-34-1        ,SUBST,,
"1H-Tetrazole, 5-methyl-",Lab,4076-36-2      ,SUBST,,
1RS cis-Permethrin,Lab,61949-76-6     ,SUBST,"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, (3-phenoxyphenyl) methyl ester, cis-(+-)-",Synonym
1RS cis-Permethrin,Lab,61949-76-6     ,SUBST,NRDC 148,Trade Name
1RS cis-Permethrin,Lab,61949-76-6     ,SUBST,(+-)-cis-Permethrin,Synonym
"2',3',4' Trimethoxyacetophenone",Lab,13909-73-4     ,SUBST,,
2(3h)-Benzothiazolone,Lab,934-34-9       ,SUBST,,
"2(3h)-Furanone, Dihydro-3,4-Bis[(4-Hydroxy-3-Methoxyph",Lab,580-72-3       ,SUBST,,
"2(3H)-Furanone, dihydro-3,5-dimethyl-",Lab,1/7/5145,SUBST,,
"2(3H)-Furanone, dihydro-5-propyl-",Lab,105-21-5       ,SUBST,,
"2(5h)-Furanone, 5,5-Dimethyl-",Lab,20019-64-1     ,SUBST,,
"2,2',4,4',5,5'-Br6Biphenyl",Lab,59080-40-9     ,SUBST,,
"2,2',4,4',5,5'-Hexabromo-1,1-biphenyl",Lab,67774-32-7     ,SUBST,Firemaster FF-1,Synonym
"2,2',4,4',5,5'-Hexabromo-1,1-biphenyl",Lab,67774-32-7     ,SUBST,"2,4,5,2',4',5'-Hexabromobiphenyl",Synonym
"2,2,4-Trimethylpentane",Lab,540-84-1       ,SUBST,,
"2,2-Dichloropropane",Lab,594-20-7       ,SUBST,,
"2,3,3-TRIMETHYLBUTANOL",Lab,36794-64-6     ,SUBST,,
"2,3,4,5-Tetrachlorophenol",Lab,4901-51-3      ,SUBST,,
"2,3,4,6,7,8-HxCDF",Lab,60851-34-5     ,SUBST,"2,3,4,6,7,8-Hexachlorodibenzofuran",Synonym
"2,3,4,6-Tetrachloroanisole",Lab,938-22-7       ,SUBST,,
"2,3,4,6-Tetrachlorophenol",Lab,58-90-2        ,SUBST,,
"2,3,4,7,8-PeCDF",Lab,57117-31-4     ,SUBST,"2,3,4,7,8-Pentachlorodibenzofuran",Synonym
"2,3,4-Trichlorophenol",Lab,15950-66-0     ,SUBST,,
"2,3,5,6-Tetrachloroanisole",Lab,6936-40-9      ,SUBST,,
"2,3,5,6-Tetrachlorophenol",Lab,935-95-5       ,SUBST,,
"2,3,5-Trichloroanisole",Lab,54135-81-8     ,SUBST,,
"2,3,5-Trichlorophenol",Lab,933-78-8       ,SUBST,,
"2,3,6-Trichloroanisole",Lab,50375-10-5     ,SUBST,,
"2,3,6-Trichlorophenol",Lab,933-75-5       ,SUBST,,
"2,3,7,8-TCDD",Lab,1746-01-6      ,SUBST,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Synonym
"2,3,7,8-TCDF",Lab,51207-31-9     ,SUBST,"2,3,7,8-Tetrachlorodibenzofuran",Synonym
"2,3-Butanediol",Lab,513-85-9       ,SUBST,,
"2,3-Dichloroaniline",Lab,608-27-5       ,SUBST,"Benzenamine, 2,3-dichloro-",Synonym
"2,3-Dichlorophenol",Lab,576-24-9       ,SUBST,,
"2,3-Dichloropropanol",Lab,616-23-9       ,SUBST,"1-Propanol, 2,3-dichloro-",Synonym
"2,3-Dihydro-1-methylindene",Lab,27133-93-3     ,SUBST,,
"2,3-Dinitrotoluene",Lab,602-01-7       ,SUBST,,
"2,3-Heptadien-5-Yne, 2,4-Dimethyl-",Lab,41898-89-9     ,SUBST,,
"2,4'-DDD",Lab,53-19-0        ,SUBST,"o,p'-DDD",Synonym
"2,4'-DDE",Lab,3424-82-6      ,SUBST,"o,p'-DDE",Synonym
"2,4'-DDT",Lab,789-02-6       ,SUBST,"o,p'-DDT",Synonym
"2,4'-DDT",Lab,789-02-6       ,SUBST,"Benzene, 1-chloro-2-[2,2,2-trichloro-1-*",Synonym
"2,4,5-T",Lab,93-76-5        ,SUBST,"Acetic acid, (2,4,5-trichlorophenoxy)-",Synonym
"2,4,5-TB",Lab,93-80-1        ,SUBST,,
"2,4,5-Trichloroanisole",Lab,6130-75-2      ,SUBST,"Benzene, 1,2,4-trichloro-5-methoxy-",Synonym
"2,4,5-Trichlorophenol",Lab,95-95-4        ,SUBST,,
"2,4,6-Tribromophenol",Lab,118-79-6       ,SUBST,,
"2,4,6-Trichloroaniline",Lab,634-93-5       ,SUBST,"Benzenamine, 2,4,6-trichloro-",Synonym
"2,4,6-Trichloroaniline hydrochloride",Lab,33663-50-2     ,SUBST,"Benzenamine, 2,4,6-trichloro-, hydrochloride",Synonym
"2,4,6-Trichlorophenol",Lab,88-06-2        ,SUBST,"Phenol, 2,4,6-trichloro-",Synonym
"2,4-/2,6-dinitrotoluene mixture",Lab,,SUBST,,
"2,4-D",Lab,94-75-7        ,SUBST,"Acetic acid, (2,4-dichlorophenoxy)-",Synonym
"2,4-D",Lab,94-75-7        ,SUBST,"2,4-D Acid",Synonym
"2,4-DB",Lab,94-82-6        ,SUBST,"Butanoic acid, 4-(2,4-dichlorophenoxy)-",Synonym
"2,4-DB",Lab,94-82-6        ,SUBST,Butoxone,Trade Name
"2,4-Dichlorobenzoic Acid",Lab,50-84-0        ,SUBST,,
"2,4-Dichlorophenol",Lab,120-83-2       ,SUBST,,
"2,4-Dichlorophenylacetic acid",Lab,19719-28-9     ,SUBST,,
"2,4-Dimethylaniline hydrochloride",Lab,21436-96-4     ,SUBST,"2,4-Xylidine.HCl",Synonym
"2,4-Dimethylphenol",Lab,105-67-9       ,SUBST,,
"2,4-Dinitrophenol",Lab,51-28-5        ,SUBST,,
"2,4-Dinitrotoluene",Lab,121-14-2       ,SUBST,,
"2,4-Hexadiene",Lab,592-46-1       ,SUBST,,
"2,4-Toluenediamine",Lab,95-80-7        ,SUBST,"1,3-Benzenediamine, 4-methyl-",Synonym
"2,5-Cyclohexadiene-1,4-Dione",Lab,106-51-4       ,SUBST,,
"2,5-Dichlorophenol",Lab,583-78-8       ,SUBST,,
"2,5-Dimethyl-1-nitrobenzene",Lab,89-58-7        ,SUBST,,
"2,5-Furandione, 3-(2-dodecenyl)dihydro-",Lab,19780-11-1     ,SUBST,2-Dodecen-1-ylsuccinic anhydride,Synonym
"2,5-Furandione, 3-(dodecenyl)dihydro-",Lab,25377-73-5     ,SUBST,Dodecenylsuccinic anhydride,Synonym
"2,5-Pyrrolidinedione, 3-ethylidene-4-methyl-, (Z)-",Lab,28098-81-9     ,SUBST,,
"2,5-Toluenediamine",Lab,95-70-5        ,SUBST,,
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-, (E,E)-",Lab,106-28-5       ,SUBST,,
"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",Lab,1125-21-9      ,SUBST,,
"2,6-Dichlorophenol",Lab,87-65-0        ,SUBST,,
"2,6-Diethyl-aniline",Lab,579-66-8       ,SUBST,,
"2,6-Dimethyl-6-nitro-2-hept",Lab,73583-56-9     ,SUBST,,
"2,6-Dimethylnaphthalene-D12",Lab,,SUBST,,
"2,6-Dinitrotoluene",Lab,606-20-2       ,SUBST,,
"2,6-OCTADIEN-1-OL, 3,7-DIMETHYL-, (Z)-",Lab,106-25-2       ,SUBST,,
"2,6-Toluenediamine",Lab,823-40-5       ,SUBST,"1,3-Benzenediamine, 2-methyl-",Synonym
"2,7-Octanedione",Lab,1626-09-1      ,SUBST,,
2-(Benzothiazolylthio)methyl thiocyanate,Lab,21564-17-0     ,SUBST,,
2-Acetylaminofluorene,Lab,53-96-3        ,SUBST,"Acetamide, N-9H-fluoren-2-yl-",Synonym
"2-amino-4,6-dinitrotoluene",Lab,35572-78-2     ,SUBST,"Benzenamine, 2-methyl-3,5-dinitro-",Synonym
"2-amino-4,6-dinitrotoluene",Lab,35572-78-2     ,SUBST,"2-A-4,6-DNT",Synonym
2-Amino-5-nitrothiazole,Lab,121-66-4       ,SUBST,"2-Thiazolamine, 5-nitro-",Synonym
